0,Supported specimen types
1,Appropriate testing population
2,Sample pooling
3,Sample pooling/Approach
4,Sample pooling/Max no. specimens
5,Detects pathogen(s)
6,Viral gene(s) targetted
7,Test technology
8,Intended user
9,Compatible equipment
10,RNA extraction & purification
11,RNA extraction & purification/Specimen input volume ul
12,RNA extraction & purification/Method(s)
13,RNA extraction & purification/Elution volume ul
14,RNA extraction & purification/Automation and or manual
15,Reverse transcription
16,Reverse transcription/Input volume ul
17,Reverse transcription/Enzyme mix or kits
18,Nucleic acid amplification
19,Nucleic acid amplification/Technology
20,Nucleic acid amplification/Instrument
21,Nucleic acid amplification/Enzyme mix or kits
22,Quantification fluorescence detection
23,Quantification fluorescence detection/Instrument
24,Author
25,Date
26,Patient details
27,Patient details/Age
28,Patient details/Race
29,Patient details/Gender
30,Disease stage
31,Specimen
32,Specimen/Type
33,Specimen/Swab type
34,Specimen/Transport medium
35,Specimen/Volume ul
36,Number of clinical samples
37,Number of clinical samples/Positives
38,Number of clinical samples/Controls (negatives)
39,Comparator test
40,Confusion matrix
41,Confusion matrix/True positives
42,Confusion matrix/False negatives
43,Confusion matrix/True negatives
44,Confusion matrix/False positives
45,Test technology/description
46,Intended patient population details
47,Intended patient population details/Age
48,Intended patient population details/Race
49,Intended patient population details/Gender
50,Intended patient population details/Symptoms
51,Intended patient population details/Exposure
52,Calculated PPA
53,Calculated PPA confidence interval
54,Calculated NPA
55,Calculated NPA confidence interval
56,Specimen/Transport container(s)
57,Specimen/Transport conditions
58,Specimen/Transport conditions/Temperature
59,Specimen/Transport conditions/Maximum duration
60,Third party detection system
61,Specimen/Synthetic Specimen
62,Specimen/Synthetic Specimen/Virus
63,Specimen/Synthetic Specimen/Virus/Source
64,Specimen/Synthetic Specimen/Clinical matrix
65,Limit of Detection (LOD)
66,Limit of Detection (LOD)/Value
67,Limit of Detection (LOD)/Units
68,Limit of Detection (LOD)/Minimum Replicates
69,Limit of Detection (LOD)/Concentration Range
70,Limit of Detection (LOD)/Concentration Range/Number of steps
71,Limit of Detection (LOD)/Concentration Range/Dilution per step
72,Nucleic acid amplification/Reaction/Volume in μL
73,Meta/Not specified
74,Meta/Error
75,Specimen/Collection protocol
76,Specimen/Collection protocol/Standard
77,Primers and probes
78,Primers and probes/Sequences
79,Primers and probes/Source
80,Primers and probes/Modifications
81,Controls
82,Controls/Internal
83,Controls/Internal/Human gene target
84,Controls/Internal/Extraction control material/Description
85,Controls/Internal/Extraction control material/Source
86,Specimen/Synthetic Specimen/Clinical matrix/Source
87,Potential interfering substances
88,Potential interfering substances/Test synthetic sample
89,Time to test result in minutes
90,Meta/Question to answer
91,Meta/Reference/To read
92,Statistics
93,Statistics/Algorithms
94,Statistics/Algorithms/Probit
95,Statistics/Confidence intervals
96,Statistics/Confidence intervals/Percentage
97,Statistics/Confidence intervals/Upper value
98,Statistics/Confidence intervals/Lower value
99,Meta/Potential error
100,Meta/Error/Omission
101,Specimen/Synthetic Specimen/Other components
102,Specimen/Synthetic Specimen/Production method
103,Specimen/Synthetic Specimen/Swab type
104,Specimen/Synthetic Specimen/Transport medium
105,Controls/Internal/Full process
106,Viral protein(s) targetted
